id,lat,long,date,weekday,time,priority
228,32.5149,-117.0382,01/04/2014,Sabado,11:35:00 am,1
231,32.5165,-117.0132,01/04/2014,Sabado,08:21:00 pm,4
232,32.5149,-117.0382,01/04/2014,Sabado,04:57:00 pm,3
233,32.5105,-117.0477,01/05/2014,Domingo,01:42:00 am,NaN
234,32.5021,-116.9535,01/03/2014,Viernes,08:18:00 am,4
235,32.5149,-116.919,01/03/2014,Viernes,06:13:00 pm,4
236,32.5149,-117.0382,01/04/2014,Sabado,05:52:00 pm,4
237,32.4689,-116.8868,01/04/2014,Sabado,08:56:00 pm,4
239,32.5149,-117.0382,01/04/2014,Sabado,01:21:00 pm,1
240,32.4714,-116.8455,01/04/2014,Sabado,02:02:00 pm,4
241,32.4767,-116.8697,01/04/2014,Sabado,03:02:00 pm,4
243,32.5149,-117.0382,01/04/2014,Sabado,07:40:00 pm,3
244,32.5149,-117.0382,01/04/2014,Sabado,11:14:00 pm,4
245,32.5149,-117.0382,01/05/2014,Domingo,03:00:00 am,2
246,32.5149,-117.0382,01/04/2014,Sabado,12:01:00 pm,4
248,32.5149,-117.0382,01/04/2014,Sabado,12:44:00 pm,NaN
249,32.5149,-117.0382,01/05/2014,Domingo,03:15:00 am,4
250,32.4686,-116.8683,01/04/2014,Sabado,06:35:00 pm,NaN
251,32.5149,-117.0382,01/05/2014,Domingo,01:04:00 am,NaN
252,32.4679,-116.8492,01/04/2014,Sabado,08:52:00 pm,NaN
253,32.5149,-117.0382,01/04/2014,Sabado,11:20:00 pm,4
254,32.5149,-117.0382,01/04/2014,Sabado,07:01:00 am,4
255,32.5149,-117.0382,01/04/2014,Sabado,03:35:00 pm,4
256,32.5149,-117.0382,01/04/2014,Sabado,10:59:00 am,4
257,32.5311,-117.0305,01/04/2014,Sabado,06:00:00 pm,4
258,32.5149,-117.0382,01/04/2014,Sabado,05:11:00 pm,1
259,32.5149,-117.0382,01/04/2014,Sabado,12:21:00 pm,4
260,32.4922,-117.0267,01/04/2014,Sabado,06:59:00 pm,4
261,32.465,-116.9889,01/04/2014,Sabado,07:27:00 pm,4
262,32.5149,-117.0382,01/04/2014,Sabado,11:12:00 pm,4
263,32.5149,-117.0382,01/04/2014,Sabado,06:25:00 pm,4
264,32.465,-116.9889,01/04/2014,Sabado,07:54:00 pm,4
265,32.5149,-117.0382,01/04/2014,Sabado,12:22:00 am,4
266,32.5149,-117.0382,01/05/2014,Domingo,02:26:00 am,4
267,32.4922,-117.0267,01/04/2014,Sabado,03:05:00 pm,4
268,32.5149,-117.0382,01/04/2014,Sabado,08:08:00 pm,4
269,32.5105,-117.0477,01/04/2014,Sabado,09:20:00 pm,NaN
270,32.5082,-116.9562,01/04/2014,Sabado,09:03:00 pm,4
271,32.5149,-117.0382,01/04/2014,Sabado,09:22:00 pm,4
272,32.5238,-116.9315,01/04/2014,Sabado,11:14:00 pm,3
273,32.5139,-116.9133,01/04/2014,Sabado,01:41:00 pm,4
274,32.4891,-116.8641,01/04/2014,Sabado,02:14:00 pm,3
275,32.5054,-116.9126,01/04/2014,Sabado,05:20:00 pm,4
276,32.5533,-116.8871,01/04/2014,Sabado,09:29:00 pm,3
277,32.5149,-117.0382,01/04/2014,Sabado,04:21:00 pm,3
278,32.5115,-116.8679,01/05/2014,Domingo,12:56:00 am,3
279,32.5299,-116.9826,01/05/2014,Domingo,02:15:00 am,3
280,32.5149,-117.0382,01/05/2014,Domingo,04:06:00 am,4
281,32.5149,-117.0382,01/04/2014,Sabado,03:38:00 pm,NaN
282,32.4389,-116.9729,01/04/2014,Sabado,06:32:00 am,NaN
283,32.5149,-117.0382,01/04/2014,Sabado,09:33:00 am,NaN
285,32.4551,-116.8865,01/04/2014,Sabado,02:06:00 pm,3
289,32.492,-117.0448,01/04/2014,Sabado,04:30:00 pm,4
290,32.5279,-116.877,01/04/2014,Sabado,11:28:00 pm,3
291,32.5149,-117.0382,01/04/2014,Sabado,03:25:00 pm,4
292,32.5149,-117.0382,01/04/2014,Sabado,06:23:00 am,3
293,32.5149,-117.0382,01/04/2014,Sabado,10:57:00 pm,4
294,32.5375,-116.9861,01/04/2014,Sabado,09:51:00 pm,2
295,32.5214,-116.9252,01/04/2014,Sabado,06:55:00 pm,3
296,32.5149,-117.0382,01/04/2014,Sabado,04:21:00 pm,4
297,32.5071,-117.0013,01/04/2014,Sabado,03:04:00 pm,4
298,32.5378,-116.8997,01/04/2014,Sabado,01:15:00 pm,3
299,32.5073,-116.9639,01/04/2014,Sabado,11:36:00 pm,4
300,32.4749,-116.9392,01/04/2014,Sabado,08:45:00 am,2
301,32.5255,-117.1209,01/04/2014,Sabado,08:02:00 am,4
302,32.4627,-116.8933,01/04/2014,Sabado,07:09:00 am,1
303,32.5149,-117.0382,01/05/2014,Domingo,08:03:00 am,4
304,32.5149,-117.0382,01/05/2014,Domingo,03:09:00 pm,NaN
305,32.4603,-116.9269,01/05/2014,Domingo,10:42:00 am,NaN
306,32.5149,-117.0382,01/05/2014,Domingo,09:54:00 am,NaN
307,32.5149,-117.0382,01/05/2014,Domingo,12:43:00 pm,3
308,32.5149,-117.0382,01/05/2014,Domingo,03:02:00 pm,4
309,32.5266,-117.0461,01/05/2014,Domingo,08:59:00 am,4
310,32.5155,-117.0219,01/05/2014,Domingo,09:30:00 am,4
311,32.5328,-116.9796,01/05/2014,Domingo,11:29:00 am,4
313,32.5253,-117.0182,01/05/2014,Domingo,04:32:00 pm,4
314,32.4784,-117.0306,01/05/2014,Domingo,12:14:00 pm,4
316,32.5389,-117.0456,01/05/2014,Domingo,06:46:00 pm,4
317,32.5149,-117.0382,01/05/2014,Domingo,10:04:00 pm,NaN
318,32.5094,-117.0587,01/06/2014,Lunes,01:38:00 am,4
319,32.5253,-117.0182,01/06/2014,Lunes,02:22:00 am,4
320,32.518,-116.9912,01/05/2014,Domingo,02:36:00 pm,4
321,32.5149,-117.0382,01/05/2014,Domingo,08:46:00 am,4
322,32.5322,-117.0495,01/05/2014,Domingo,09:53:00 pm,4
323,32.5326,-117.0746,01/05/2014,Domingo,04:41:00 pm,4
324,32.5299,-116.9712,01/06/2014,Lunes,02:27:00 am,3
325,32.4795,-117.0816,01/06/2014,Lunes,01:36:00 am,4
326,32.5219,-117.0692,01/05/2014,Domingo,12:29:00 pm,4
327,32.5193,-116.9869,01/05/2014,Domingo,06:12:00 pm,3
329,32.5149,-117.0382,01/05/2014,Domingo,08:58:00 am,1
332,32.4814,-116.9823,01/04/2014,Sabado,03:24:00 pm,NaN
333,32.4468,-116.9261,01/04/2014,Sabado,04:28:00 pm,4
334,32.5149,-117.0382,01/04/2014,Sabado,07:29:00 pm,3
335,32.5149,-117.0382,01/04/2014,Sabado,11:04:00 pm,2
337,32.4938,-116.9618,01/05/2014,Domingo,02:58:00 am,4
338,32.5287,-116.9483,01/05/2014,Domingo,08:00:00 pm,2
340,32.4882,-117.0404,01/05/2014,Domingo,09:34:00 pm,3
341,32.5149,-117.0382,01/05/2014,Domingo,11:36:00 pm,3
342,32.5319,-116.9303,01/05/2014,Domingo,01:51:00 pm,4
343,32.497,-116.9635,01/05/2014,Domingo,03:08:00 pm,4
344,32.5149,-117.0382,01/05/2014,Domingo,03:27:00 pm,3
345,32.5149,-117.0382,01/05/2014,Domingo,05:34:00 pm,3
346,32.5149,-117.0382,01/05/2014,Domingo,06:33:00 pm,3
347,32.5149,-117.0382,01/05/2014,Domingo,07:34:00 pm,3
348,32.5149,-117.0382,01/05/2014,Domingo,10:27:00 pm,NaN
349,32.5149,-117.0382,01/06/2014,Lunes,03:25:00 am,4
351,32.5149,-117.0382,01/05/2014,Domingo,05:57:00 pm,NaN
352,32.5063,-116.999,01/06/2014,Lunes,07:05:00 pm,NaN
353,32.5197,-116.982,01/05/2014,Domingo,06:25:00 pm,NaN
354,32.5149,-117.0382,01/05/2014,Domingo,08:42:00 am,2
355,32.5149,-117.0382,01/05/2014,Domingo,11:09:00 am,3
356,32.5149,-117.0382,01/05/2014,Domingo,01:18:00 pm,4
357,32.5116,-116.9227,01/05/2014,Domingo,02:52:00 pm,3
359,32.5149,-117.0382,01/05/2014,Domingo,06:43:00 pm,4
360,32.4703,-116.9688,01/05/2014,Domingo,09:57:00 pm,3
361,32.5149,-117.0382,01/06/2014,Lunes,02:56:00 am,3
362,32.4703,-116.9688,01/06/2014,Lunes,04:30:00 am,NaN
363,32.5291,-117.033,01/04/2014,Sabado,12:22:00 pm,NaN
364,32.5149,-117.0382,01/04/2014,Sabado,12:43:00 pm,3
365,32.5045,-117.0107,01/04/2014,Sabado,02:32:00 pm,3
366,32.5149,-117.0382,01/04/2014,Sabado,05:00:00 pm,4
367,32.5117,-117.0537,01/04/2014,Sabado,06:13:00 pm,2
368,32.465,-116.9889,01/04/2014,Sabado,08:44:00 pm,4
369,32.5338,-117.04,01/04/2014,Sabado,09:03:00 pm,4
371,32.5149,-117.0382,01/04/2014,Sabado,11:17:00 pm,4
372,32.5595,-116.9735,01/05/2014,Domingo,01:13:00 am,4
373,32.5064,-117.0608,01/05/2014,Domingo,08:46:00 pm,2
374,32.4946,-116.963,01/05/2014,Domingo,10:26:00 am,4
375,32.4882,-117.0404,01/05/2014,Domingo,04:40:00 am,4
376,32.4947,-117.0637,01/05/2014,Domingo,06:26:00 am,4
378,32.4803,-117.0441,01/05/2014,Domingo,05:57:00 pm,4
379,32.532,-117.082,01/05/2014,Domingo,03:59:00 pm,3
380,32.5303,-116.9644,01/05/2014,Domingo,11:44:00 am,3
382,32.5149,-117.0382,01/06/2014,Lunes,09:09:00 am,4
383,32.5149,-117.0382,01/06/2014,Lunes,07:51:00 am,4
384,32.4858,-116.934,01/06/2014,Lunes,02:20:00 pm,4
385,32.5253,-117.0182,01/06/2014,Lunes,12:54:00 pm,4
386,32.546,-116.9756,01/06/2014,Lunes,06:11:00 am,4
387,32.5376,-117.0423,01/06/2014,Lunes,12:00:00 pm,1
388,32.532,-117.082,01/06/2014,Lunes,09:22:00 am,3
389,32.5092,-117.0394,01/06/2014,Lunes,02:59:00 pm,4
390,32.5149,-117.0382,01/06/2014,Lunes,04:03:00 pm,3
391,32.5149,-117.0382,01/06/2014,Lunes,09:04:00 pm,4
392,32.5149,-117.0382,01/06/2014,Lunes,06:32:00 pm,4
393,32.5161,-117.044,01/07/2014,Martes,01:46:00 am,4
394,32.5265,-117.1162,01/06/2014,Lunes,08:12:00 am,4
395,32.5253,-117.1164,01/06/2014,Lunes,04:01:00 pm,1
399,32.514,-117.0063,01/06/2014,Lunes,09:38:00 am,3
400,32.5346,-116.985,01/06/2014,Lunes,08:46:00 pm,4
401,32.5149,-117.0382,01/06/2014,Lunes,09:37:00 am,NaN
403,32.5149,-117.0382,01/07/2014,Martes,04:03:00 am,3
406,32.5149,-117.0382,01/06/2014,Lunes,04:09:00 pm,4
407,32.4703,-116.9688,01/06/2014,Lunes,07:18:00 pm,4
